MAJ,ident,nbplaces,nbvelos,nbelec,nbclassiq,velo_dispo,hour,minute,day
2021-05-19 23:24:11.049413,92.61748633879782,11.33879781420765,10.202185792349727,5.300546448087432,4.901639344262295,49.48087431693989,23.0,24.0,19.0
2021-05-19 23:29:10.923684,92.61748633879782,11.333333333333334,10.207650273224044,5.284153005464481,4.923497267759563,49.46448087431694,23.0,29.0,19.0
2021-05-19 23:54:13.291849,92.61748633879782,11.33879781420765,10.207650273224044,5.306010928961749,4.901639344262295,49.404371584699454,23.0,54.0,19.0
2021-05-19 23:19:11.568895,92.61748633879782,11.3551912568306,10.185792349726777,5.2896174863387975,4.896174863387978,49.377049180327866,23.0,19.0,19.0
2021-05-19 23:34:11.228974,92.61748633879782,11.349726775956285,10.191256830601093,5.273224043715847,4.918032786885246,49.3551912568306,23.0,34.0,19.0
2021-05-19 23:14:11.588899,92.61748633879782,11.349726775956285,10.191256830601093,5.2896174863387975,4.901639344262295,49.349726775956285,23.0,14.0,19.0
2021-05-19 23:44:11.597915,92.61748633879782,11.349726775956285,10.191256830601093,5.284153005464481,4.907103825136612,49.31147540983606,23.0,44.0,19.0
2021-05-19 23:04:12.576562,92.61748633879782,11.360655737704919,10.180327868852459,5.278688524590164,4.901639344262295,49.30054644808743,23.0,4.0,19.0
2021-05-19 23:09:12.777808,92.61748633879782,11.360655737704919,10.180327868852459,5.278688524590164,4.901639344262295,49.28415300546448,23.0,9.0,19.0
2021-05-19 22:59:12.904071,92.61748633879782,11.349726775956285,10.191256830601093,5.311475409836065,4.879781420765028,49.278688524590166,22.0,59.0,19.0
2021-05-19 23:39:11.351667,92.61748633879782,11.366120218579235,10.174863387978142,5.273224043715847,4.901639344262295,49.26229508196721,23.0,39.0,19.0
2021-05-19 22:54:12.594149,92.61748633879782,11.371584699453551,10.169398907103826,5.2896174863387975,4.879781420765028,49.20765027322405,22.0,54.0,19.0
2021-05-19 23:49:11.339188,92.61748633879782,11.371584699453551,10.169398907103826,5.2896174863387975,4.879781420765028,49.20765027322405,23.0,49.0,19.0
2021-05-19 23:59:11.419088,92.61748633879782,11.371584699453551,10.174863387978142,5.278688524590164,4.896174863387978,49.19125683060109,23.0,59.0,19.0
2021-05-19 22:49:11.308244,92.61748633879782,11.37704918032787,10.163934426229508,5.278688524590164,4.885245901639344,49.15846994535519,22.0,49.0,19.0
2021-05-14 01:31:11.232687,92.61748633879782,11.174863387978142,10.333333333333334,5.39344262295082,4.939890710382514,49.10928961748634,1.0,31.0,14.0
2021-05-14 02:11:11.108816,92.61748633879782,11.180327868852459,10.327868852459016,5.39344262295082,4.934426229508197,49.10928961748634,2.0,11.0,14.0
2021-05-14 01:36:11.224095,92.61748633879782,11.174863387978142,10.333333333333334,5.39344262295082,4.939890710382514,49.10928961748634,1.0,36.0,14.0
2021-05-14 01:41:11.301293,92.61748633879782,11.174863387978142,10.333333333333334,5.39344262295082,4.939890710382514,49.10928961748634,1.0,41.0,14.0
2021-05-14 02:16:11.950515,92.61748633879782,11.180327868852459,10.327868852459016,5.387978142076503,4.939890710382514,49.10382513661202,2.0,16.0,14.0
2021-05-14 01:46:11.679491,92.61748633879782,11.180327868852459,10.327868852459016,5.387978142076503,4.939890710382514,49.08743169398907,1.0,46.0,14.0
2021-05-14 02:06:11.368145,92.61748633879782,11.180327868852459,10.327868852459016,5.39344262295082,4.934426229508197,49.08743169398907,2.0,6.0,14.0
2021-05-14 03:31:11.720982,92.61748633879782,11.180327868852459,10.327868852459016,5.387978142076503,4.939890710382514,49.07103825136612,3.0,31.0,14.0
2021-05-14 03:36:11.636484,92.61748633879782,11.180327868852459,10.327868852459016,5.387978142076503,4.939890710382514,49.07103825136612,3.0,36.0,14.0
2021-05-14 02:21:11.258998,92.61748633879782,11.191256830601093,10.316939890710383,5.387978142076503,4.9289617486338795,49.0655737704918,2.0,21.0,14.0
